variant,high_strategy,use_persona,model_name,random_accuracy,random_avg_confidence,grouped_accuracy,grouped_avg_confidence,rows_used,unique_queries
drop_high_query_plus_persona,drop,True,linear_svc_stats,0.7950310559006211,0.6105558743834372,0.8126452812645282,0.6041500085506889,11267,7966
drop_high_query_only,drop,False,linear_svc_stats,0.7817213842058562,0.6030162944723294,0.806136680613668,0.5998695056702944,11267,7966
drop_high_query_plus_persona,drop,True,sgd_log,0.7879325643300799,0.8231292156132846,0.802417480241748,0.8241161024199796,11267,7966
drop_high_query_only,drop,False,sgd_log,0.7830523513753327,0.8242813452180499,0.8019525801952581,0.8186509029968356,11267,7966
drop_high_query_only,drop,False,char_word_logreg,0.7670807453416149,0.7277745825626041,0.7898651789865179,0.7184893676777011,11267,7966
drop_high_query_plus_persona,drop,True,char_word_logreg,0.7741792369121562,0.7310702702065511,0.7880055788005579,0.7212877805439742,11267,7966
drop_high_query_plus_persona,drop,True,linear_svc_calibrated,0.7976929902395741,0.7785606966871879,0.7833565783356579,0.6341708362888774,11267,7966
drop_high_query_only,drop,False,word_logreg,0.7648624667258208,0.6851007234853421,0.7791724779172478,0.6677464233929615,11267,7966
drop_high_query_plus_persona,drop,True,word_logreg,0.769299023957409,0.6887527111271828,0.7759181775918178,0.6735435554529695,11267,7966
drop_high_query_only,drop,False,linear_svc_calibrated,0.7870452528837621,0.7723516882003496,0.7721989772198977,0.6414064972068845,11267,7966
drop_high_query_plus_persona,drop,True,word_cnb,0.7586512866015972,0.6229429155820295,0.7624360762436077,0.5875648169537571,11267,7966
drop_high_query_only,drop,False,word_cnb,0.7519964507542147,0.6054005088785195,0.7415155741515574,0.5720106428801991,11267,7966
high_to_complex_query_plus_persona,to_complex,True,linear_svc_stats,0.7831533477321814,0.6035106256503686,0.7358171041490262,0.5577994337996822,11575,8265
high_to_complex_query_only,to_complex,False,word_logreg,0.76414686825054,0.6849916506659628,0.7286198137171889,0.6270493652074511,11575,8265
