variant,high_strategy,use_persona,model,random_accuracy,grouped_accuracy,rows_used,unique_queries
drop_high_query_only,drop,False,char_word_logreg,0.7670807453416149,0.7898651789865179,11267,7966
drop_high_query_plus_persona,drop,True,char_word_logreg,0.7741792369121562,0.7880055788005579,11267,7966
drop_high_query_only,drop,False,word_logreg,0.7648624667258208,0.7791724779172478,11267,7966
drop_high_query_plus_persona,drop,True,word_logreg,0.769299023957409,0.7759181775918178,11267,7966
drop_high_query_plus_persona,drop,True,word_cnb,0.7586512866015972,0.7624360762436077,11267,7966
drop_high_query_only,drop,False,word_cnb,0.7519964507542147,0.7415155741515574,11267,7966
high_to_complex_query_only,to_complex,False,word_logreg,0.76414686825054,0.7286198137171889,11575,8265
high_to_complex_query_only,to_complex,False,char_word_logreg,0.7680345572354211,0.7281964436917866,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,char_word_logreg,0.772354211663067,0.7243861134631668,11575,8265
high_to_complex_query_plus_persona,to_complex,True,char_word_logreg,0.7758099352051836,0.7214225232853514,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,word_logreg,0.76414686825054,0.7197290431837426,11575,8265
high_to_llm_query_only,to_llm_needed,False,word_logreg,0.7602591792656588,0.7167654530059272,11575,8265
high_to_llm_query_only,to_llm_needed,False,char_word_logreg,0.7632829373650108,0.7150719729043183,11575,8265
high_to_complex_query_plus_persona,to_complex,True,word_logreg,0.7645788336933045,0.7146486028789162,11575,8265
high_to_complex_query_plus_persona,to_complex,True,word_cnb,0.7572354211663067,0.6972904318374259,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,word_cnb,0.7533477321814255,0.6913632514817951,11575,8265
drop_high_query_plus_persona,drop,True,word_nb,0.7204968944099379,0.6861924686192469,11267,7966
drop_high_query_only,drop,False,word_nb,0.7169476486246673,0.6829381682938168,11267,7966
high_to_complex_query_only,to_complex,False,word_cnb,0.745572354211663,0.682895850973751,11575,8265
high_to_llm_query_only,to_llm_needed,False,word_cnb,0.7352051835853132,0.6803556308213379,11575,8265
high_to_complex_query_plus_persona,to_complex,True,word_nb,0.7140388768898488,0.632514817950889,11575,8265
high_to_llm_query_plus_persona,to_llm_needed,True,word_nb,0.7114470842332613,0.6320914479254869,11575,8265
high_to_complex_query_only,to_complex,False,word_nb,0.7079913606911447,0.6320914479254869,11575,8265
high_to_llm_query_only,to_llm_needed,False,word_nb,0.7079913606911447,0.6278577476714648,11575,8265
